Unnamed: 0,Series_Title,Released_Year,certificate
29,Seppuku,1962,18
53,Ayla: The Daughter of War,2017,12
76,Tengoku to jigoku,1963,13
91,Babam ve Oglum,2005,12
120,Ikiru,1952,7
121,Ladri di biciclette,1948,7
125,Metropolis,1927,0
137,Mandariinid,2013,14
162,Eskiya,1996,15
180,Yôjinbô,1961,7
185,Du rififi chez les hommes,1955,16
188,Rashômon,1950,12
205,Kis Uykusu,2014,6
228,Mary and Max,2009,12
255,Underground,1995,14
288,Persona,1966,12
290,La battaglia di Algeri,1966,12
291,El ángel exterminador,1962,14
294,The Man Who Shot Liberty Valance,1962,12
295,Ivanovo detstvo,1962,16
298,Les quatre cents coups,1959,7
300,Kakushi-toride no san-akunin,1958,15
301,Le notti di Cabiria,1957,16
302,Kumonosu-jô,1957,16
307,White Heat,1949,16
309,The Red Shoes,1948,0
310,The Shop Around the Corner,1940,12
314,La Grande Illusion,1937,12
320,Das Cabinet des Dr. Caligari,1920,6
344,Tropa de Elite 2: O Inimigo Agora é Outro,2010,15
352,Nefes: Vatan Sagolsun,2009,0
365,G.O.R.A.,2004,12
369,Vozvrashchenie,2003,12
378,Yeopgijeogin geunyeo,2001,7
380,Vizontele,2001,6
389,Knockin' on Heaven's Door,1997,15
431,8½,1963,12
432,Vivre sa vie: Film en douze tableaux,1962,18
436,Anatomy of a Murder,1959,16
441,The Night of the Hunter,1955,12
442,La Strada,1954,12
443,Les diaboliques,1955,16
444,Stalag 17,1953,16
445,Roman Holiday,1953,6
447,In a Lonely Place,1950,14
450,Out of the Past,1947,12
454,Arsenic and Old Lace,1942,12
455,The Maltese Falcon,1941,12
458,La règle du jeu,1939,0
461,Bronenosets Potemkin,1925,0
479,Bir Zamanlar Anadolu'da,2011,12
491,"4 luni, 3 saptamâni si 2 zile",2007,16
494,The Man from Earth,2007,7
499,C.R.A.Z.Y.,2005,14
539,"Aguirre, der Zorn Gottes",1972,12
543,Night of the Living Dead,1968,16
550,Hiroshima mon amour,1959,16
557,Miracle on 34th Street,1947,14
561,The Philadelphia Story,1940,12
566,Freaks,1932,16
567,Nosferatu,1922,12
573,Perfetti sconosciuti,2016,13
588,La grande bellezza,2013,12
600,Kokuhaku,2010,16
601,Ang-ma-reul bo-at-da,2010,18
607,Chugyeokja,2008,18
612,Druk,2020,12
618,Auf der anderen Seite,2007,18
635,Ondskan,2003,12
640,Gongdong gyeongbi guyeok JSA,2000,16
652,Hana-bi,1997,15
661,Naked,1993,15
699,Wait Until Dark,1967,12
700,Guess Who's Coming to Dinner,1967,6
705,Jules et Jim,1962,14
709,Key Largo,1948,12
713,The Lady Vanishes,1938,12
715,Bride of Frankenstein,1935,12
716,Duck Soup,1933,0
720,God's Own Country,2017,12
735,The Broken Circle Breakdown,2012,16
741,Detachment,2011,15
746,Beasts of No Nation,2015,15
761,Death Note: Desu nôto,2006,12
762,This Is England,2006,0
800,Happiness,1998,18
828,Spoorloos,1988,12
855,The Dirty Dozen,1967,12
858,Repulsion,1965,16
863,Peeping Tom,1960,12
865,Les yeux sans visage,1960,16
868,The Ladykillers,1955,16
884,Victoria,2015,16
898,El cuerpo,2012,16
908,Celda 211,2009,18
912,Die Welle,2008,16
919,The Secret of Kells,2009,7
925,Dead Man's Shoes,2004,18
943,Batoru rowaiaru,2000,18
997,Lifeboat,1944,12
998,The 39 Steps,1935,0
