,Series_Title,Released_Year
19,Soorarai Pottru,2020
53,Ayla: The Daughter of War,2017
54,Vikram Vedha,2017
56,Dangal,2016
64,Taare Zameen Par,2007
70,Once Upon a Time in America,1984
75,Anand,1971
76,Tengoku to jigoku,1963
78,Witness for the Prosecution,1957
81,Sunset Blvd.,1950
82,The Great Dictator,1940
84,Tumbbad,2018
85,Andhadhun,2018
86,Drishyam,2013
90,Miracle in cell NO.7,2019
91,Babam ve Oglum,2005
104,Idi i smotri,1985
120,Ikiru,1952
121,Ladri di biciclette,1948
124,M - Eine Stadt sucht einen Mörder,1931
126,The Kid,1921
127,Chhichhore,2019
128,Uri: The Surgical Strike,2018
129,K.G.F: Chapter 1,2018
132,Talvar,2015
133,Baahubali 2: The Conclusion,2017
135,Drishyam,2015
136,Queen,2013
138,Bhaag Milkha Bhaag,2013
140,Udaan,2010
141,Paan Singh Tomar,2012
152,Rang De Basanti,2006
153,Black,2005
155,"Swades: We, the People",2004
159,Hera Pheri,2000
162,Eskiya,1996
165,Andaz Apna Apna,1994
168,Dom za vesanje,1988
173,Stalker,1979
174,Höstsonaten,1978
175,The Message,1976
176,Sholay,1975
180,Yôjinbô,1961
187,Tôkyô monogatari,1953
192,The Gold Rush,1925
193,Sherlock Jr.,1924
195,Pink,2016
197,Contratiempo,2016
200,Haider,2014
206,PK,2014
207,OMG: Oh My God!,2012
213,Barfi!,2012
219,Kahaani,2012
220,Zindagi Na Milegi Dobara,2011
223,A Wednesday,2008
227,Hachi: A Dog's Tale,2009
228,Mary and Max,2009
232,Lage Raho Munna Bhai,2006
237,Munna Bhai M.B.B.S.,2003
239,Dil Chahta Hai,2001
245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997
255,Underground,1995
256,La haine,1995
257,Dilwale Dulhania Le Jayenge,1995
263,Ba wang bie ji,1993
264,Dà hóng denglong gaogao guà,1991
272,Fitzcarraldo,1982
281,Zerkalo,1975
284,Viskningar och rop,1972
286,Le samouraï,1967
289,Andrei Rublev,1966
291,El ángel exterminador,1962
293,Sanjuro,1962
295,Ivanovo detstvo,1962
296,Jungfrukällan,1960
298,Les quatre cents coups,1959
300,Kakushi-toride no san-akunin,1958
301,Le notti di Cabiria,1957
302,Kumonosu-jô,1957
307,White Heat,1949
309,The Red Shoes,1948
314,La Grande Illusion,1937
316,La passion de Jeanne d'Arc,1928
318,Sunrise: A Song of Two Humans,1927
319,The General,1926
320,Das Cabinet des Dr. Caligari,1920
321,Badhaai ho,2018
323,Airlift,2016
324,Bajrangi Bhaijaan,2015
325,Baby,2015
330,Bãhubali: The Beginning,2015
334,Special Chabbis,2013
349,Dev.D,2009
352,Nefes: Vatan Sagolsun,2009
365,G.O.R.A.,2004
378,Yeopgijeogin geunyeo,2001
380,Vizontele,2001
385,Pâfekuto burû,1997
389,Knockin' on Heaven's Door,1997
404,Akira,1988
419,Sleuth,1972
432,Vivre sa vie: Film en douze tableaux,1962
442,La Strada,1954
443,Les diaboliques,1955
447,In a Lonely Place,1950
448,Kind Hearts and Coronets,1949
450,Out of the Past,1947
452,Laura,1944
454,Arsenic and Old Lace,1942
458,La règle du jeu,1939
463,Dil Bechara,2020
489,Jab We Met,2007
494,The Man from Earth,2007
521,Jûbê ninpûchô,1993
537,Amarcord,1973
539,"Aguirre, der Zorn Gottes",1972
544,The Lion in Winter,1968
549,L'avventura,1960
550,Hiroshima mon amour,1959
551,The Ten Commandments,1956
556,Harvey,1950
559,The Big Sleep,1946
560,The Lost Weekend,1945
562,His Girl Friday,1940
564,A Night at the Opera,1935
567,Nosferatu,1922
569,Raazi,2018
573,Perfetti sconosciuti,2016
576,Udta Punjab,2016
578,M.S. Dhoni: The Untold Story,2016
590,Vicky Donor,2012
593,English Vinglish,2012
600,Kokuhaku,2010
604,Ajeossi,2010
652,Hana-bi,1997
664,Batman: Mask of the Phantasm,1993
665,Lat sau san taam,1992
707,À bout de souffle,1960
708,Red River,1948
709,Key Largo,1948
710,To Have and Have Not,1944
737,Rockstar,2011
760,Toki o kakeru shôjo,2006
761,Death Note: Desu nôto,2006
797,Interstate 60: Episodes of the Road,2002
803,Abre los ojos,1997
811,Hamlet,1996
828,Spoorloos,1988
836,Zelig,1983
856,Belle de jour,1967
863,Peeping Tom,1960
870,The Quiet Man,1952
871,The Day the Earth Stood Still,1951
873,Gilda,1946
898,El cuerpo,2012
908,Celda 211,2009
912,Die Welle,2008
